iter	Logloss
0	0.6856385135
1	0.6729528877
2	0.6605812244
3	0.6480964061
4	0.635308855
5	0.6271312585
6	0.6153190699
7	0.6038722349
8	0.5952120149
9	0.5862537341
10	0.577985785
11	0.5680596855
12	0.5609394888
13	0.5551968264
14	0.5481198772
15	0.5393883352
16	0.5313696272
17	0.5260329514
18	0.5187863125
19	0.5126998987
20	0.5062496314
21	0.5004800947
22	0.4952145266
23	0.4890545191
24	0.4828080595
25	0.4783703665
26	0.4724793595
27	0.4674274573
28	0.4626914464
29	0.4581290256
30	0.4536944614
31	0.4487164958
32	0.4445452744
33	0.4400668198
34	0.4362201905
35	0.4345226931
36	0.4299169819
37	0.4257550186
38	0.4228450904
39	0.4214144075
40	0.4188516595
41	0.4154535358
42	0.4123501724
43	0.411084893
44	0.4077598486
45	0.4069110142
46	0.4039574098
47	0.4026962452
48	0.3997490701
49	0.3982432505
50	0.3953294647
51	0.3929673098
52	0.3901793662
53	0.387555926
54	0.3860816527
55	0.3837643741
56	0.381005105
57	0.3788670743
58	0.3763018833
59	0.3742757219
60	0.3720295081
61	0.3707288678
62	0.3685598481
63	0.3669527032
64	0.3663985863
65	0.3654941173
66	0.363551022
67	0.3612068691
68	0.3592975488
69	0.3579679768
70	0.3555160694
71	0.353710346
72	0.3512877989
73	0.3493703564
74	0.347731601
75	0.3471350295
76	0.3453907056
77	0.3439473356
78	0.3427451487
79	0.341059224
80	0.3392897617
81	0.3386920115
82	0.3374172382
83	0.335583719
84	0.3345230188
85	0.3329969685
86	0.3313809513
87	0.3299056064
88	0.328950389
89	0.3276705153
90	0.3266319961
91	0.3258255948
92	0.3245247616
93	0.3231657864
94	0.3219110296
95	0.3209711353
96	0.3194203323
97	0.3187133275
98	0.3175034898
99	0.3168788653
100	0.31553187
101	0.3140302508
102	0.3134750409
103	0.3129442836
104	0.3127375613
105	0.3120567236
106	0.3109748497
107	0.3108867045
108	0.3097235647
109	0.308700733
110	0.3075051897
111	0.3067348352
112	0.3059571727
113	0.3058884224
114	0.3050335659
115	0.3046138849
116	0.3035832523
117	0.3027426473
118	0.3023814298
119	0.3018106396
120	0.3010766319
121	0.3002027019
122	0.299328279
123	0.2982830948
124	0.2972430969
125	0.2964324951
126	0.2953872895
127	0.2950590541
128	0.2947701229
129	0.2939562423
130	0.2931183376
131	0.2930197555
132	0.2923505762
133	0.2913919513
134	0.2903375733
135	0.2895877281
136	0.2887955783
137	0.2879918131
138	0.2872009706
139	0.2866922871
140	0.285798105
141	0.2855741522
142	0.2847067586
143	0.284009312
144	0.2829020211
145	0.2823300737
146	0.2819255872
147	0.2813217292
148	0.280591879
149	0.2796947179
150	0.2795003612
151	0.2794507059
152	0.2787413222
153	0.2782381465
154	0.2770985164
155	0.2764223292
156	0.2755373623
157	0.2752670331
158	0.2740589742
159	0.2731698711
160	0.2731318527
161	0.2727314167
162	0.2718135534
163	0.2712619653
164	0.2704085232
165	0.269934665
166	0.2693594172
167	0.2688424185
