iter	Passed	Remaining
0	46	930477
1	114	1140063
2	115	773166
3	175	876407
4	230	921126
5	232	775304
6	245	702513
7	300	751304
8	301	669531
9	304	609422
10	305	555082
11	360	600743
12	361	555375
13	361	516471
14	362	483033
15	419	523706
16	425	500275
17	426	472919
18	438	460787
19	440	439884
20	442	420865
21	445	404705
22	446	387802
23	514	427999
24	597	477350
25	598	459708
26	680	503732
27	693	494543
28	719	495220
29	722	480975
30	802	517081
31	829	517365
32	913	552458
33	991	582269
34	1083	618054
35	1084	601171
36	1137	613919
37	1215	638300
38	1241	635348
39	1242	620099
40	1244	605624
41	1281	608789
42	1287	597354
43	1287	584064
44	1376	610488
45	1377	597403
46	1521	646130
47	1523	633239
48	1616	658229
49	1617	645308
50	1671	653973
51	1683	645975
52	1695	638184
53	1748	645712
54	1749	634265
55	1804	642525
56	1855	649296
57	1859	639211
58	1910	645706
59	1962	652185
60	2015	658684
61	2016	648308
62	2070	655121
63	2121	660991
64	2122	651069
65	2124	641707
66	2184	649760
67	2236	655703
68	2310	667273
69	2387	679828
70	2440	685077
71	2518	696968
72	2593	707968
73	2675	720488
74	2688	714239
75	2689	705127
76	2743	709861
77	2818	719949
78	2825	712388
79	2903	723010
80	2987	734618
81	2990	726440
82	2996	719092
83	3075	729095
84	3086	723241
85	3139	727075
86	3187	729546
87	3274	740909
88	3327	744518
89	3404	753115
90	3481	761763
91	3534	764816
92	3611	773122
93	3685	780530
94	3774	790927
95	3787	785328
96	3872	794615
97	3873	786716
98	3927	789500
99	3929	781954
100	4007	789635
101	4083	796512
102	4094	790933
103	4095	783519
104	4096	776166
105	4106	770765
106	4182	777533
107	4182	770394
108	4232	772302
109	4310	779393
110	4388	786391
111	4414	783895
112	4496	791366
113	4497	784480
114	4503	778683
115	4506	772428
116	4583	778975
117	4669	786753
118	4671	780420
119	4724	782685
120	4801	788801
121	4882	795504
122	4935	797636
123	5002	801827
124	5056	803958
125	5109	805924
126	5163	807933
127	5165	801877
128	5165	795735
129	5218	797612
130	5271	799461
131	5271	793494
132	5284	789327
133	5338	791460
134	5392	793518
135	5446	795579
136	5500	797440
137	5506	792498
138	5558	794176
139	5570	790237
140	5623	791974
141	5624	786522
142	5677	788339
143	5729	790063
144	5781	791678
145	5806	789615
146	5858	791268
147	5884	789255
148	5934	790702
149	5986	792214
150	5987	787085
151	5988	781939
152	6040	783599
153	6092	785109
154	6145	786764
155	6193	787819
156	6240	788787
157	6244	784159
158	6293	785392
159	6341	786364
160	6342	781502
161	6390	782565
162	6442	784089
163	6495	785626
164	6547	787054
165	6572	785237
166	6596	783429
167	6649	784917
