Survived,Pclass,Sex,Age,SibSp,Parch,Fare,cross1,cross2,Embarked_C,Embarked_Q,Embarked_S
0,3,1,22.0,1,0,7.25,7.25,22.0,False,False,True
1,1,0,38.0,1,0,71.2833,213.8499,38.0,True,False,False
1,3,0,26.0,0,0,7.925,7.925,0.0,False,False,True
1,1,0,35.0,1,0,53.1,159.3,35.0,False,False,True
0,3,1,35.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,28.0,0,0,8.4583,8.4583,0.0,False,True,False
0,1,1,54.0,0,0,51.8625,155.58749999999998,0.0,False,False,True
0,3,1,2.0,3,1,21.075,21.075,8.0,False,False,True
1,3,0,27.0,0,2,11.1333,11.1333,54.0,False,False,True
1,2,0,14.0,1,0,30.0708,60.1416,14.0,True,False,False
1,3,0,4.0,1,1,16.7,16.7,8.0,False,False,True
1,1,0,58.0,0,0,26.55,79.65,0.0,False,False,True
0,3,1,20.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,39.0,1,5,31.275,31.275,234.0,False,False,True
0,3,0,14.0,0,0,7.8542,7.8542,0.0,False,False,True
1,2,0,55.0,0,0,16.0,32.0,0.0,False,False,True
0,3,1,2.0,4,1,29.125,29.125,10.0,False,True,False
1,2,1,28.0,0,0,13.0,26.0,0.0,False,False,True
0,3,0,31.0,1,0,18.0,18.0,31.0,False,False,True
1,3,0,28.0,0,0,7.225,7.225,0.0,True,False,False
0,2,1,35.0,0,0,26.0,52.0,0.0,False,False,True
1,2,1,34.0,0,0,13.0,26.0,0.0,False,False,True
1,3,0,15.0,0,0,8.0292,8.0292,0.0,False,True,False
1,1,1,28.0,0,0,35.5,106.5,0.0,False,False,True
0,3,0,8.0,3,1,21.075,21.075,32.0,False,False,True
1,3,0,38.0,1,5,31.3875,31.3875,228.0,False,False,True
0,3,1,28.0,0,0,7.225,7.225,0.0,True,False,False
0,1,1,19.0,3,2,263.0,789.0,95.0,False,False,True
1,3,0,28.0,0,0,7.8792,7.8792,0.0,False,True,False
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,1,1,40.0,0,0,27.7208,83.1624,0.0,True,False,False
1,1,0,28.0,1,0,146.5208,439.5624,28.0,True,False,False
1,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
0,2,1,66.0,0,0,10.5,21.0,0.0,False,False,True
0,1,1,28.0,1,0,82.1708,246.5124,28.0,True,False,False
0,1,1,42.0,1,0,52.0,156.0,42.0,False,False,True
1,3,1,28.0,0,0,7.2292,7.2292,0.0,True,False,False
0,3,1,21.0,0,0,8.05,8.05,0.0,False,False,True
0,3,0,18.0,2,0,18.0,18.0,36.0,False,False,True
1,3,0,14.0,1,0,11.2417,11.2417,14.0,True,False,False
0,3,0,40.0,1,0,9.475,9.475,40.0,False,False,True
0,2,0,27.0,1,0,21.0,42.0,27.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,True,False,False
1,2,0,3.0,1,2,41.5792,83.1584,9.0,True,False,False
1,3,0,19.0,0,0,7.8792,7.8792,0.0,False,True,False
