PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,cross2
1,0,3,male,22.0,1,0,A/5 21171,7.25,S,22.0
2,1,1,female,38.0,1,0,PC 17599,71.2833,C,38.0
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,S,0.0
4,1,1,female,35.0,1,0,113803,53.1,S,35.0
5,0,3,male,35.0,0,0,373450,8.05,S,0.0
6,0,3,male,28.0,0,0,330877,8.4583,Q,0.0
7,0,1,male,54.0,0,0,17463,51.8625,S,0.0
8,0,3,male,2.0,3,1,349909,21.075,S,8.0
9,1,3,female,27.0,0,2,347742,11.1333,S,54.0
10,1,2,female,14.0,1,0,237736,30.0708,C,14.0
11,1,3,female,4.0,1,1,PP 9549,16.7,S,8.0
12,1,1,female,58.0,0,0,113783,26.55,S,0.0
13,0,3,male,20.0,0,0,A/5. 2151,8.05,S,0.0
14,0,3,male,39.0,1,5,347082,31.275,S,234.0
15,0,3,female,14.0,0,0,350406,7.8542,S,0.0
16,1,2,female,55.0,0,0,248706,16.0,S,0.0
17,0,3,male,2.0,4,1,382652,29.125,Q,10.0
18,1,2,male,28.0,0,0,244373,13.0,S,0.0
19,0,3,female,31.0,1,0,345763,18.0,S,31.0
20,1,3,female,28.0,0,0,2649,7.225,C,0.0
21,0,2,male,35.0,0,0,239865,26.0,S,0.0
22,1,2,male,34.0,0,0,248698,13.0,S,0.0
23,1,3,female,15.0,0,0,330923,8.0292,Q,0.0
24,1,1,male,28.0,0,0,113788,35.5,S,0.0
25,0,3,female,8.0,3,1,349909,21.075,S,32.0
26,1,3,female,38.0,1,5,347077,31.3875,S,228.0
27,0,3,male,28.0,0,0,2631,7.225,C,0.0
28,0,1,male,19.0,3,2,19950,263.0,S,95.0
29,1,3,female,28.0,0,0,330959,7.8792,Q,0.0
30,0,3,male,28.0,0,0,349216,7.8958,S,0.0
31,0,1,male,40.0,0,0,PC 17601,27.7208,C,0.0
32,1,1,female,28.0,1,0,PC 17569,146.5208,C,28.0
33,1,3,female,28.0,0,0,335677,7.75,Q,0.0
34,0,2,male,66.0,0,0,C.A. 24579,10.5,S,0.0
35,0,1,male,28.0,1,0,PC 17604,82.1708,C,28.0
36,0,1,male,42.0,1,0,113789,52.0,S,42.0
37,1,3,male,28.0,0,0,2677,7.2292,C,0.0
38,0,3,male,21.0,0,0,A./5. 2152,8.05,S,0.0
39,0,3,female,18.0,2,0,345764,18.0,S,36.0
40,1,3,female,14.0,1,0,2651,11.2417,C,14.0
